SDOT_UNIT_,SPR_UNIT_I,SDCI_UNIT_,SPU_TREE_U,SPU_PLANT_,PEST_UNIT_,SOURCE_DEP,SCIENTIFIC,COMMON_NAM,DBH,OWNERSHIP,UNITDESC,GLOBALID,kc_am1,kc_af1,kc_pm1,lat,lon
TRE-1103514,,,,,TRE-1103514,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9510 28TH AVE NW,114d0b26-e728-477c-9d1d-5264a590943f,62.770069122314453,88.773345947265625,85.660835266113281,-122.3929800000,47.6979240900
TRE-1103515,,,,,TRE-1103515,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9510 28TH AVE NW,feb432d4-ac88-4352-80d2-6d83a77c2cd7,62.770069122314453,88.773345947265625,85.660835266113281,-122.3930030000,47.6979231800
TRE-1103516,,,,,TRE-1103516,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9510 28TH AVE NW,ebf544e5-8c0a-4cad-8f38-0391b5a29aac,62.770069122314453,88.773345947265625,85.660835266113281,-122.3930180000,47.6979259300
TRE-1103517,,,,,TRE-1103517,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9510 28TH AVE NW,98cb6737-e1bd-4683-a207-a589b7d9a5c3,62.770069122314453,88.773345947265625,85.660835266113281,-122.3930430000,47.6979247100
TRE-1103518,,,,,TRE-1103518,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9510 28TH AVE NW,43a9c46e-c60f-4005-b4f9-44d8bef06c6e,62.770069122314453,88.773345947265625,85.660835266113281,-122.3930730000,47.6979245900
TRE-1103519,,,,,TRE-1103519,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9510 28TH AVE NW,be90a1c6-33b9-4c7c-aec9-a5883a0bce2f,62.845836639404297,88.793258666992188,85.687774658203125,-122.3930960000,47.6979236800
TRE-1103520,,,,,TRE-1103520,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9510 28TH AVE NW,49670543-2d5e-44cb-86c1-c7529fb44167,62.845836639404297,88.793258666992188,85.687774658203125,-122.3931220000,47.6979265900
TRE-1103521,,,,,TRE-1103521,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9510 28TH AVE NW,88f24801-85f0-4451-836e-015ae2668a98,62.845836639404297,88.793258666992188,85.687774658203125,-122.3931410000,47.6979239500
TRE-1103523,,,,,TRE-1103523,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9510 28TH AVE NW,83e8a187-490e-4973-b38e-c1d2736226cb,62.845836639404297,88.793258666992188,85.687774658203125,-122.3931810000,47.6979234100
TRE-1103524,,,,,TRE-1103524,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9510 28TH AVE NW,bfdea05d-60b2-4a10-94c7-790c9be9c6c1,62.845836639404297,88.793258666992188,85.687774658203125,-122.3932030000,47.6979266600
TRE-1103525,,,,,TRE-1103525,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9510 28TH AVE NW,7c02c580-c6bc-4b74-a5e9-fb230b748e21,62.933940887451165,88.846145629882812,85.783889770507812,-122.3932430000,47.6979332300
TRE-1103526,,,,,TRE-1103526,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9510 28TH AVE NW,53857295-9af0-4a95-8b0e-3d83577b994c,63.003204345703125,88.814392089843750,85.867713928222656,-122.3932730000,47.6979434900
TRE-1103527,,,,,TRE-1103527,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"20",Private,2804 NW 93RD ST,090d6ad4-b0ec-4c23-a917-9e8b5028979d,61.962181091308594,88.560935974121094,84.750907897949219,-122.3930130000,47.6970419200
TRE-1103557,,,,,TRE-1103557,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"7",Private,2802 NW 91ST ST,47372311-5184-4c4d-9945-d4ec4653216e,61.236366271972656,88.491241455078125,84.120254516601562,-122.3930170000,47.6962213900
TRE-1103587,,,,,TRE-1103587,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,2803 NW 91ST ST,849a82f8-200a-4cd2-8405-53cc1f70595b,61.139175415039062,88.566635131835938,83.878616333007812,-122.3930560000,47.6952363100
